Wins,diff_text_success,goals_aginest,goals_for_GF,losses,name,ot_losses,url,win_percent,year
38,,218.0,222.0,33.0,New York Rangers,11.0,https://www.scrapethissite.com/pages/forms/?page_num=21,0.463,2009.0
49,,202.0,269.0,29.0,Boston Bruins,4.0,https://www.scrapethissite.com/pages/forms/?page_num=23,0.598,2011.0
39,,230.0,218.0,32.0,Buffalo Sabres,11.0,https://www.scrapethissite.com/pages/forms/?page_num=23,0.476,2011.0
37,,226.0,202.0,29.0,Calgary Flames,16.0,https://www.scrapethissite.com/pages/forms/?page_num=23,0.451,2011.0
33,,243.0,213.0,33.0,Carolina Hurricanes,16.0,https://www.scrapethissite.com/pages/forms/?page_num=23,0.402,2011.0
29,,262.0,202.0,46.0,Columbus Blue Jackets,7.0,https://www.scrapethissite.com/pages/forms/?page_num=23,0.354,2011.0
45,,238.0,248.0,26.0,Chicago Blackhawks,11.0,https://www.scrapethissite.com/pages/forms/?page_num=23,0.549,2011.0
41,,220.0,208.0,35.0,Colorado Avalanche,6.0,https://www.scrapethissite.com/pages/forms/?page_num=23,0.5,2011.0
42,,222.0,211.0,35.0,Dallas Stars,5.0,https://www.scrapethissite.com/pages/forms/?page_num=23,0.512,2011.0
48,,203.0,248.0,28.0,Detroit Red Wings,6.0,https://www.scrapethissite.com/pages/forms/?page_num=23,0.585,2011.0
34,,272.0,216.0,40.0,Atlanta Thrashers,8.0,https://www.scrapethissite.com/pages/forms/?page_num=18,0.415,2007.0
41,,222.0,212.0,29.0,Boston Bruins,12.0,https://www.scrapethissite.com/pages/forms/?page_num=18,0.5,2007.0
39,,242.0,255.0,31.0,Buffalo Sabres,12.0,https://www.scrapethissite.com/pages/forms/?page_num=18,0.476,2007.0
42,,227.0,229.0,30.0,Calgary Flames,10.0,https://www.scrapethissite.com/pages/forms/?page_num=18,0.512,2007.0
43,,249.0,252.0,33.0,Carolina Hurricanes,6.0,https://www.scrapethissite.com/pages/forms/?page_num=18,0.524,2007.0
34,,218.0,193.0,36.0,Columbus Blue Jackets,12.0,https://www.scrapethissite.com/pages/forms/?page_num=18,0.415,2007.0
40,,235.0,239.0,34.0,Chicago Blackhawks,8.0,https://www.scrapethissite.com/pages/forms/?page_num=18,0.488,2007.0
44,,219.0,231.0,31.0,Colorado Avalanche,7.0,https://www.scrapethissite.com/pages/forms/?page_num=18,0.537,2007.0
45,,207.0,242.0,30.0,Dallas Stars,7.0,https://www.scrapethissite.com/pages/forms/?page_num=18,0.549,2007.0
54,,184.0,257.0,21.0,Detroit Red Wings,7.0,https://www.scrapethissite.com/pages/forms/?page_num=18,0.659,2007.0
33,,249.0,201.0,42.0,Columbus Blue Jackets,7.0,https://www.scrapethissite.com/pages/forms/?page_num=17,0.402,2006.0
31,,258.0,201.0,42.0,Chicago Blackhawks,9.0,https://www.scrapethissite.com/pages/forms/?page_num=17,0.378,2006.0
44,,251.0,272.0,31.0,Colorado Avalanche,7.0,https://www.scrapethissite.com/pages/forms/?page_num=17,0.537,2006.0
50,,197.0,226.0,25.0,Dallas Stars,7.0,https://www.scrapethissite.com/pages/forms/?page_num=17,0.61,2006.0
50,,199.0,254.0,19.0,Detroit Red Wings,13.0,https://www.scrapethissite.com/pages/forms/?page_num=17,0.61,2006.0
41,,251.0,256.0,28.0,Edmonton Oilers,13.0,https://www.scrapethissite.com/pages/forms/?page_num=16,0.5,2005.0
37,,257.0,240.0,34.0,Florida Panthers,11.0,https://www.scrapethissite.com/pages/forms/?page_num=16,0.451,2005.0
42,,270.0,249.0,35.0,Los Angeles Kings,5.0,https://www.scrapethissite.com/pages/forms/?page_num=16,0.512,2005.0
38,,215.0,231.0,36.0,Minnesota Wild,8.0,https://www.scrapethissite.com/pages/forms/?page_num=16,0.463,2005.0
42,,247.0,243.0,31.0,Montreal Canadiens,9.0,https://www.scrapethissite.com/pages/forms/?page_num=16,0.512,2005.0
49,,227.0,259.0,25.0,Nashville Predators,8.0,https://www.scrapethissite.com/pages/forms/?page_num=16,0.598,2005.0
46,,229.0,242.0,27.0,New Jersey Devils,9.0,https://www.scrapethissite.com/pages/forms/?page_num=16,0.561,2005.0
36,,278.0,230.0,40.0,New York Islanders,6.0,https://www.scrapethissite.com/pages/forms/?page_num=16,0.439,2005.0
44,,215.0,257.0,26.0,New York Rangers,12.0,https://www.scrapethissite.com/pages/forms/?page_num=16,0.537,2005.0
52,,211.0,314.0,21.0,Ottawa Senators,9.0,https://www.scrapethissite.com/pages/forms/?page_num=16,0.634,2005.0
44,,225.0,258.0,29.0,Chicago Blackhawks,9.0,https://www.scrapethissite.com/pages/forms/?page_num=22,0.537,2010.0
30,,288.0,227.0,44.0,Colorado Avalanche,8.0,https://www.scrapethissite.com/pages/forms/?page_num=22,0.366,2010.0
42,,233.0,227.0,29.0,Dallas Stars,11.0,https://www.scrapethissite.com/pages/forms/?page_num=22,0.512,2010.0
47,,241.0,261.0,25.0,Detroit Red Wings,10.0,https://www.scrapethissite.com/pages/forms/?page_num=22,0.573,2010.0
25,,269.0,193.0,45.0,Edmonton Oilers,12.0,https://www.scrapethissite.com/pages/forms/?page_num=22,0.305,2010.0
44,,238.0,225.0,32.0,Ottawa Senators,6.0,https://www.scrapethissite.com/pages/forms/?page_num=21,0.537,2009.0
41,,225.0,236.0,35.0,Philadelphia Flyers,6.0,https://www.scrapethissite.com/pages/forms/?page_num=21,0.5,2009.0
50,,202.0,225.0,25.0,Phoenix Coyotes,7.0,https://www.scrapethissite.com/pages/forms/?page_num=21,0.61,2009.0
47,,237.0,257.0,28.0,Pittsburgh Penguins,7.0,https://www.scrapethissite.com/pages/forms/?page_num=21,0.573,2009.0
51,,215.0,264.0,20.0,San Jose Sharks,11.0,https://www.scrapethissite.com/pages/forms/?page_num=21,0.622,2009.0
40,,223.0,225.0,32.0,St. Louis Blues,10.0,https://www.scrapethissite.com/pages/forms/?page_num=21,0.488,2009.0
34,,260.0,217.0,36.0,Tampa Bay Lightning,12.0,https://www.scrapethissite.com/pages/forms/?page_num=21,0.415,2009.0
30,,267.0,214.0,38.0,Toronto Maple Leafs,14.0,https://www.scrapethissite.com/pages/forms/?page_num=21,0.366,2009.0
